topology,noise_scale,baseline_circuit_id,k1_circuit_id,baseline_target_probability,k1_target_probability,delta_target_probability,delta_target_sign,baseline_abs_parity,k1_abs_parity,delta_abs_parity,delta_parity_sign,baseline_entropy_bits,k1_entropy_bits,delta_entropy,delta_entropy_sign,baseline_top_probability,k1_top_probability,delta_top_probability,delta_top_probability_sign,scaled_p1,scaled_p2,scaled_readout_e01,scaled_readout_e10
chain6,0.0,phase5_chain6_predictive_parent,phase5_chain6_predictive_parent_drop_k1_e2,0.028564453125,0.022216796875,-0.00634765625,negative,0.01513671875,0.3818359375,0.36669921875,positive,5.340290656582813,5.000405697957643,-0.3398849586251709,negative,0.0859375,0.09033203125,0.00439453125,positive,0.0,0.0,0.0,0.0
chain6,0.5,phase5_chain6_predictive_parent,phase5_chain6_predictive_parent_drop_k1_e2,0.030029296875,0.02294921875,-0.007080078125,negative,0.01123046875,0.32568359375,0.314453125,positive,5.455545082402369,5.16436814979917,-0.2911769326031992,negative,0.078125,0.08544921875,0.00732421875,positive,0.00075,0.0075,0.0075,0.01
chain6,1.0,phase5_chain6_predictive_parent,phase5_chain6_predictive_parent_drop_k1_e2,0.030029296875,0.0234375,-0.006591796875,negative,0.01123046875,0.2666015625,0.25537109375,positive,5.576554777496997,5.331751570740217,-0.2448032067567798,negative,0.06884765625,0.07666015625,0.0078125,positive,0.0015,0.015,0.015,0.02
chain6,1.5,phase5_chain6_predictive_parent,phase5_chain6_predictive_parent_drop_k1_e2,0.02978515625,0.021728515625,-0.008056640625,negative,0.009765625,0.20166015625,0.19189453125,positive,5.642184554167771,5.4425039897937335,-0.19968056437403714,negative,0.065673828125,0.069580078125,0.00390625,positive,0.0022500000000000003,0.0225,0.0225,0.03
chain6,2.0,phase5_chain6_predictive_parent,phase5_chain6_predictive_parent_drop_k1_e2,0.029541015625,0.021728515625,-0.0078125,negative,0.02587890625,0.16552734375,0.1396484375,positive,5.710730642883008,5.547951692148052,-0.16277895073495596,negative,0.059814453125,0.06298828125,0.003173828125,positive,0.003,0.03,0.03,0.04
ring6,0.0,phase5_ring6_predictive_parent,phase5_ring6_predictive_parent_drop_k1_e0,0.055419921875,0.02197265625,-0.033447265625,negative,0.1396484375,0.02587890625,-0.11376953125,negative,5.453634896251398,5.230440111066047,-0.22319478518535085,negative,0.055419921875,0.1025390625,0.047119140625,positive,0.0,0.0,0.0,0.0
ring6,0.5,phase5_ring6_predictive_parent,phase5_ring6_predictive_parent_drop_k1_e0,0.050537109375,0.022705078125,-0.02783203125,negative,0.1181640625,0.01318359375,-0.10498046875,negative,5.622672685554284,5.403808622691974,-0.21886406286230997,negative,0.050537109375,0.091552734375,0.041015625,positive,0.00075,0.0075,0.0075,0.01
ring6,1.0,phase5_ring6_predictive_parent,phase5_ring6_predictive_parent_drop_k1_e0,0.044677734375,0.022216796875,-0.0224609375,negative,0.083984375,0.00146484375,-0.08251953125,negative,5.724977501043443,5.5285564890144405,-0.19642101202900264,negative,0.044677734375,0.0810546875,0.036376953125,positive,0.0015,0.015,0.015,0.02
ring6,1.5,phase5_ring6_predictive_parent,phase5_ring6_predictive_parent_drop_k1_e0,0.041259765625,0.02099609375,-0.020263671875,negative,0.07373046875,0.001953125,-0.07177734375,negative,5.777411942713271,5.620997571317684,-0.156414371395587,negative,0.041259765625,0.073974609375,0.03271484375,positive,0.0022500000000000003,0.0225,0.0225,0.03
ring6,2.0,phase5_ring6_predictive_parent,phase5_ring6_predictive_parent_drop_k1_e0,0.037841796875,0.021728515625,-0.01611328125,negative,0.04541015625,0.013671875,-0.03173828125,negative,5.834657134635319,5.679211134596243,-0.15544600003907583,negative,0.037841796875,0.06787109375,0.030029296875,positive,0.003,0.03,0.03,0.04
