phase,topology,kind,circuit_id,parent_circuit_id,noise_scale,shots,target_probability,abs_parity,entropy_bits,top_probability,top_state,n_observed_states,scaled_p1,scaled_p2,scaled_readout_e01,scaled_readout_e10,source_path
Phase5.5,chain6,baseline,phase5_chain6_predictive_parent,phase5_chain6_predictive_parent,0.0,4096,0.028564453125,0.01513671875,5.340290656582813,0.0859375,110011,62,0.0,0.0,0.0,0.0,E:\SRFM_QUANTUM_PHASE5\results\raw_phase55_noise_sweep\chain6\chain6_baseline__noise0p0__shots4096.json
Phase5.5,chain6,multi_ablation,phase5_chain6_predictive_parent_drop_k1_e2,phase5_chain6_predictive_parent,0.0,4096,0.022216796875,0.3818359375,5.000405697957643,0.09033203125,110011,60,0.0,0.0,0.0,0.0,E:\SRFM_QUANTUM_PHASE5\results\raw_phase55_noise_sweep\chain6\chain6_k1_e2__noise0p0__shots4096.json
Phase5.5,chain6,baseline,phase5_chain6_predictive_parent,phase5_chain6_predictive_parent,0.5,4096,0.030029296875,0.01123046875,5.455545082402369,0.078125,110011,64,0.00075,0.0075,0.0075,0.01,E:\SRFM_QUANTUM_PHASE5\results\raw_phase55_noise_sweep\chain6\chain6_baseline__noise0p5__shots4096.json
Phase5.5,chain6,multi_ablation,phase5_chain6_predictive_parent_drop_k1_e2,phase5_chain6_predictive_parent,0.5,4096,0.02294921875,0.32568359375,5.16436814979917,0.08544921875,110011,63,0.00075,0.0075,0.0075,0.01,E:\SRFM_QUANTUM_PHASE5\results\raw_phase55_noise_sweep\chain6\chain6_k1_e2__noise0p5__shots4096.json
Phase5.5,chain6,baseline,phase5_chain6_predictive_parent,phase5_chain6_predictive_parent,1.0,4096,0.030029296875,0.01123046875,5.576554777496997,0.06884765625,110011,64,0.0015,0.015,0.015,0.02,E:\SRFM_QUANTUM_PHASE5\results\raw_phase55_noise_sweep\chain6\chain6_baseline__noise1p0__shots4096.json
Phase5.5,chain6,multi_ablation,phase5_chain6_predictive_parent_drop_k1_e2,phase5_chain6_predictive_parent,1.0,4096,0.0234375,0.2666015625,5.331751570740217,0.07666015625,110011,64,0.0015,0.015,0.015,0.02,E:\SRFM_QUANTUM_PHASE5\results\raw_phase55_noise_sweep\chain6\chain6_k1_e2__noise1p0__shots4096.json
Phase5.5,chain6,baseline,phase5_chain6_predictive_parent,phase5_chain6_predictive_parent,1.5,4096,0.02978515625,0.009765625,5.642184554167771,0.065673828125,110011,64,0.0022500000000000003,0.0225,0.0225,0.03,E:\SRFM_QUANTUM_PHASE5\results\raw_phase55_noise_sweep\chain6\chain6_baseline__noise1p5__shots4096.json
Phase5.5,chain6,multi_ablation,phase5_chain6_predictive_parent_drop_k1_e2,phase5_chain6_predictive_parent,1.5,4096,0.021728515625,0.20166015625,5.4425039897937335,0.069580078125,110011,64,0.0022500000000000003,0.0225,0.0225,0.03,E:\SRFM_QUANTUM_PHASE5\results\raw_phase55_noise_sweep\chain6\chain6_k1_e2__noise1p5__shots4096.json
Phase5.5,chain6,baseline,phase5_chain6_predictive_parent,phase5_chain6_predictive_parent,2.0,4096,0.029541015625,0.02587890625,5.710730642883008,0.059814453125,110011,64,0.003,0.03,0.03,0.04,E:\SRFM_QUANTUM_PHASE5\results\raw_phase55_noise_sweep\chain6\chain6_baseline__noise2p0__shots4096.json
Phase5.5,chain6,multi_ablation,phase5_chain6_predictive_parent_drop_k1_e2,phase5_chain6_predictive_parent,2.0,4096,0.021728515625,0.16552734375,5.547951692148052,0.06298828125,110011,64,0.003,0.03,0.03,0.04,E:\SRFM_QUANTUM_PHASE5\results\raw_phase55_noise_sweep\chain6\chain6_k1_e2__noise2p0__shots4096.json
Phase5.5,ring6,baseline,phase5_ring6_predictive_parent,phase5_ring6_predictive_parent,0.0,4096,0.055419921875,0.1396484375,5.453634896251398,0.055419921875,111111,59,0.0,0.0,0.0,0.0,E:\SRFM_QUANTUM_PHASE5\results\raw_phase55_noise_sweep\ring6\ring6_baseline__noise0p0__shots4096.json
Phase5.5,ring6,multi_ablation,phase5_ring6_predictive_parent_drop_k1_e0,phase5_ring6_predictive_parent,0.0,4096,0.02197265625,0.02587890625,5.230440111066047,0.1025390625,000110,64,0.0,0.0,0.0,0.0,E:\SRFM_QUANTUM_PHASE5\results\raw_phase55_noise_sweep\ring6\ring6_k1_e0__noise0p0__shots4096.json
Phase5.5,ring6,baseline,phase5_ring6_predictive_parent,phase5_ring6_predictive_parent,0.5,4096,0.050537109375,0.1181640625,5.622672685554284,0.050537109375,111111,64,0.00075,0.0075,0.0075,0.01,E:\SRFM_QUANTUM_PHASE5\results\raw_phase55_noise_sweep\ring6\ring6_baseline__noise0p5__shots4096.json
Phase5.5,ring6,multi_ablation,phase5_ring6_predictive_parent_drop_k1_e0,phase5_ring6_predictive_parent,0.5,4096,0.022705078125,0.01318359375,5.403808622691974,0.091552734375,000110,64,0.00075,0.0075,0.0075,0.01,E:\SRFM_QUANTUM_PHASE5\results\raw_phase55_noise_sweep\ring6\ring6_k1_e0__noise0p5__shots4096.json
Phase5.5,ring6,baseline,phase5_ring6_predictive_parent,phase5_ring6_predictive_parent,1.0,4096,0.044677734375,0.083984375,5.724977501043443,0.044677734375,111111,64,0.0015,0.015,0.015,0.02,E:\SRFM_QUANTUM_PHASE5\results\raw_phase55_noise_sweep\ring6\ring6_baseline__noise1p0__shots4096.json
Phase5.5,ring6,multi_ablation,phase5_ring6_predictive_parent_drop_k1_e0,phase5_ring6_predictive_parent,1.0,4096,0.022216796875,0.00146484375,5.5285564890144405,0.0810546875,000110,64,0.0015,0.015,0.015,0.02,E:\SRFM_QUANTUM_PHASE5\results\raw_phase55_noise_sweep\ring6\ring6_k1_e0__noise1p0__shots4096.json
Phase5.5,ring6,baseline,phase5_ring6_predictive_parent,phase5_ring6_predictive_parent,1.5,4096,0.041259765625,0.07373046875,5.777411942713271,0.041259765625,111111,64,0.0022500000000000003,0.0225,0.0225,0.03,E:\SRFM_QUANTUM_PHASE5\results\raw_phase55_noise_sweep\ring6\ring6_baseline__noise1p5__shots4096.json
Phase5.5,ring6,multi_ablation,phase5_ring6_predictive_parent_drop_k1_e0,phase5_ring6_predictive_parent,1.5,4096,0.02099609375,0.001953125,5.620997571317684,0.073974609375,000110,64,0.0022500000000000003,0.0225,0.0225,0.03,E:\SRFM_QUANTUM_PHASE5\results\raw_phase55_noise_sweep\ring6\ring6_k1_e0__noise1p5__shots4096.json
Phase5.5,ring6,baseline,phase5_ring6_predictive_parent,phase5_ring6_predictive_parent,2.0,4096,0.037841796875,0.04541015625,5.834657134635319,0.037841796875,111111,64,0.003,0.03,0.03,0.04,E:\SRFM_QUANTUM_PHASE5\results\raw_phase55_noise_sweep\ring6\ring6_baseline__noise2p0__shots4096.json
Phase5.5,ring6,multi_ablation,phase5_ring6_predictive_parent_drop_k1_e0,phase5_ring6_predictive_parent,2.0,4096,0.021728515625,0.013671875,5.679211134596243,0.06787109375,000110,64,0.003,0.03,0.03,0.04,E:\SRFM_QUANTUM_PHASE5\results\raw_phase55_noise_sweep\ring6\ring6_k1_e0__noise2p0__shots4096.json
