topology,perturbation_order,connectivity_state,n_records,mean_delta_abs_parity,mean_delta_target_probability,mean_delta_entropy,mean_abs_parity,mean_target_probability,mean_entropy_bits,mean_remaining_edge_ratio,mean_n_components
chain6,1,disconnected,5,0.09921875,0.0791015625,-0.6711553993658909,0.11044921875,0.109130859375,4.905399378131106,0.8,2.0
chain6,2,disconnected,10,0.16376953125,0.1259765625,-1.261652748771774,0.175,0.156005859375,4.314902028725223,0.6,3.0
chain6,3,disconnected,10,0.119775390625,0.2146728515625,-1.7806690442197692,0.131005859375,0.2447021484375,3.7958857332772284,0.4,4.0
random6,1,connected,4,0.0477294921875,0.03924560546875,-0.27741891832567656,0.0706787109375,0.07098388671875,5.426292625078483,0.8333333333333334,1.0
random6,1,disconnected,2,0.02685546875,-0.0145263671875,-0.7033452845437433,0.0498046875,0.0172119140625,5.000366258860417,0.8333333333333334,2.0
random6,2,disconnected,15,0.07591145833333333,0.059065755208333334,-0.820552389929167,0.09886067708333333,0.09080403645833333,4.883159153474993,0.6666666666666666,2.066666666666667
random6,3,disconnected,20,0.1202392578125,0.08648681640625,-1.265469217327119,0.1431884765625,0.11822509765625,4.438242326077042,0.5,3.0
ring6,1,connected,6,-0.023193359375,-0.0260009765625,-0.06619626978874939,0.060791015625,0.0186767578125,5.658781231254694,0.8333333333333334,1.0
ring6,2,disconnected,15,-0.0004557291666666667,0.006998697916666667,-0.5324411510266268,0.08352864583333333,0.051676432291666664,5.192536350016817,0.6666666666666666,2.0
ring6,3,disconnected,20,0.04951171875,0.03671875,-1.0555947871499494,0.13349609375,0.081396484375,4.669382713893493,0.5,3.0
