phase,study_title,topology,topology_class,phase_role,phase5_role,predicted_response_class,circuit_id,parent_circuit_id,perturbation_order,dropped_edges,dropped_edge_count,dropped_edge_qubits,abs_parity,target_probability,entropy_bits,top_probability,top_state,n_observed_states,baseline_abs_parity,baseline_target_probability,baseline_entropy_bits,baseline_top_probability,delta_abs_parity,delta_target_probability,delta_entropy,delta_top_probability,is_connected_after_ablation,n_components_after_ablation,has_loop_after_ablation,remaining_edge_count,dropped_edge_count_check,source_path
Phase5,SRFM Quantum Phase5 Predictive Structural Response Study,chain6,path,loop_free_comparison,predictive_parent,adaptive_improvement_then_collapse,phase5_chain6_predictive_parent_drop_k1_e0,phase5_chain6_predictive_parent,1,e0,1,"[[0, 1]]",0.03955078125,0.12841796875,4.650342968085421,0.161865234375,110111,61,0.01123046875,0.030029296875,5.576554777496997,0.06884765625,0.0283203125,0.098388671875,-0.9262118094115763,0.093017578125,False,2,False,4,1,E:\SRFM_QUANTUM_PHASE5\results\raw\chain6\multi_ablation\phase5_chain6_predictive_parent_drop_k1_e0__noisy_sim__xbasis__shots4096.json
Phase5,SRFM Quantum Phase5 Predictive Structural Response Study,chain6,path,loop_free_comparison,predictive_parent,adaptive_improvement_then_collapse,phase5_chain6_predictive_parent_drop_k1_e1,phase5_chain6_predictive_parent,1,e1,1,"[[1, 2]]",0.10009765625,0.13330078125,4.969541581297614,0.13330078125,111111,64,0.01123046875,0.030029296875,5.576554777496997,0.06884765625,0.0888671875,0.103271484375,-0.6070131961993832,0.064453125,False,2,False,4,1,E:\SRFM_QUANTUM_PHASE5\results\raw\chain6\multi_ablation\phase5_chain6_predictive_parent_drop_k1_e1__noisy_sim__xbasis__shots4096.json
Phase5,SRFM Quantum Phase5 Predictive Structural Response Study,chain6,path,loop_free_comparison,predictive_parent,adaptive_improvement_then_collapse,phase5_chain6_predictive_parent_drop_k1_e2,phase5_chain6_predictive_parent,1,e2,1,"[[2, 3]]",0.2666015625,0.0234375,5.331751570740217,0.07666015625,110011,64,0.01123046875,0.030029296875,5.576554777496997,0.06884765625,0.25537109375,-0.006591796875,-0.2448032067567798,0.0078125,False,2,False,4,1,E:\SRFM_QUANTUM_PHASE5\results\raw\chain6\multi_ablation\phase5_chain6_predictive_parent_drop_k1_e2__noisy_sim__xbasis__shots4096.json
Phase5,SRFM Quantum Phase5 Predictive Structural Response Study,chain6,path,loop_free_comparison,predictive_parent,adaptive_improvement_then_collapse,phase5_chain6_predictive_parent_drop_k1_e3,phase5_chain6_predictive_parent,1,e3,1,"[[3, 4]]",0.11376953125,0.132568359375,4.943299214293094,0.132568359375,111111,64,0.01123046875,0.030029296875,5.576554777496997,0.06884765625,0.1025390625,0.1025390625,-0.6332555632039032,0.063720703125,False,2,False,4,1,E:\SRFM_QUANTUM_PHASE5\results\raw\chain6\multi_ablation\phase5_chain6_predictive_parent_drop_k1_e3__noisy_sim__xbasis__shots4096.json
Phase5,SRFM Quantum Phase5 Predictive Structural Response Study,chain6,path,loop_free_comparison,predictive_parent,adaptive_improvement_then_collapse,phase5_chain6_predictive_parent_drop_k1_e4,phase5_chain6_predictive_parent,1,e4,1,"[[4, 5]]",0.0322265625,0.1279296875,4.632061556239186,0.162109375,111011,63,0.01123046875,0.030029296875,5.576554777496997,0.06884765625,0.02099609375,0.097900390625,-0.9444932212578117,0.09326171875,False,2,False,4,1,E:\SRFM_QUANTUM_PHASE5\results\raw\chain6\multi_ablation\phase5_chain6_predictive_parent_drop_k1_e4__noisy_sim__xbasis__shots4096.json
Phase5,SRFM Quantum Phase5 Predictive Structural Response Study,chain6,path,loop_free_comparison,predictive_parent,adaptive_improvement_then_collapse,phase5_chain6_predictive_parent_drop_k2_e0_e1,phase5_chain6_predictive_parent,2,"e0,e1",2,"[[0, 1], [1, 2]]",0.07763671875,0.137939453125,4.731312946252521,0.137939453125,111111,61,0.01123046875,0.030029296875,5.576554777496997,0.06884765625,0.06640625,0.10791015625,-0.8452418312444765,0.069091796875,False,3,False,3,2,E:\SRFM_QUANTUM_PHASE5\results\raw\chain6\multi_ablation\phase5_chain6_predictive_parent_drop_k2_e0_e1__noisy_sim__xbasis__shots4096.json
Phase5,SRFM Quantum Phase5 Predictive Structural Response Study,chain6,path,loop_free_comparison,predictive_parent,adaptive_improvement_then_collapse,phase5_chain6_predictive_parent_drop_k2_e0_e2,phase5_chain6_predictive_parent,2,"e0,e2",2,"[[0, 1], [2, 3]]",0.35009765625,0.117919921875,3.789359999131942,0.22265625,110111,54,0.01123046875,0.030029296875,5.576554777496997,0.06884765625,0.3388671875,0.087890625,-1.787194778365055,0.15380859375,False,3,False,3,2,E:\SRFM_QUANTUM_PHASE5\results\raw\chain6\multi_ablation\phase5_chain6_predictive_parent_drop_k2_e0_e2__noisy_sim__xbasis__shots4096.json
Phase5,SRFM Quantum Phase5 Predictive Structural Response Study,chain6,path,loop_free_comparison,predictive_parent,adaptive_improvement_then_collapse,phase5_chain6_predictive_parent_drop_k2_e0_e3,phase5_chain6_predictive_parent,2,"e0,e3",2,"[[0, 1], [3, 4]]",0.10986328125,0.14208984375,4.335939904901786,0.18115234375,110111,58,0.01123046875,0.030029296875,5.576554777496997,0.06884765625,0.0986328125,0.112060546875,-1.240614872595211,0.1123046875,False,3,False,3,2,E:\SRFM_QUANTUM_PHASE5\results\raw\chain6\multi_ablation\phase5_chain6_predictive_parent_drop_k2_e0_e3__noisy_sim__xbasis__shots4096.json
Phase5,SRFM Quantum Phase5 Predictive Structural Response Study,chain6,path,loop_free_comparison,predictive_parent,adaptive_improvement_then_collapse,phase5_chain6_predictive_parent_drop_k2_e0_e4,phase5_chain6_predictive_parent,2,"e0,e4",2,"[[0, 1], [4, 5]]",0.30859375,0.297119140625,3.9775946171392724,0.297119140625,111111,54,0.01123046875,0.030029296875,5.576554777496997,0.06884765625,0.29736328125,0.26708984375,-1.5989601603577248,0.228271484375,False,3,False,3,2,E:\SRFM_QUANTUM_PHASE5\results\raw\chain6\multi_ablation\phase5_chain6_predictive_parent_drop_k2_e0_e4__noisy_sim__xbasis__shots4096.json
Phase5,SRFM Quantum Phase5 Predictive Structural Response Study,chain6,path,loop_free_comparison,predictive_parent,adaptive_improvement_then_collapse,phase5_chain6_predictive_parent_drop_k2_e1_e2,phase5_chain6_predictive_parent,2,"e1,e2",2,"[[1, 2], [2, 3]]",0.021484375,0.046875,4.979820872843679,0.104248046875,110011,64,0.01123046875,0.030029296875,5.576554777496997,0.06884765625,0.01025390625,0.016845703125,-0.596733904653318,0.035400390625,False,3,False,3,2,E:\SRFM_QUANTUM_PHASE5\results\raw\chain6\multi_ablation\phase5_chain6_predictive_parent_drop_k2_e1_e2__noisy_sim__xbasis__shots4096.json
Phase5,SRFM Quantum Phase5 Predictive Structural Response Study,chain6,path,loop_free_comparison,predictive_parent,adaptive_improvement_then_collapse,phase5_chain6_predictive_parent_drop_k2_e1_e3,phase5_chain6_predictive_parent,2,"e1,e3",2,"[[1, 2], [3, 4]]",0.30517578125,0.380615234375,3.63256119705637,0.380615234375,111111,58,0.01123046875,0.030029296875,5.576554777496997,0.06884765625,0.2939453125,0.3505859375,-1.9439935804406274,0.311767578125,False,3,False,3,2,E:\SRFM_QUANTUM_PHASE5\results\raw\chain6\multi_ablation\phase5_chain6_predictive_parent_drop_k2_e1_e3__noisy_sim__xbasis__shots4096.json
Phase5,SRFM Quantum Phase5 Predictive Structural Response Study,chain6,path,loop_free_comparison,predictive_parent,adaptive_improvement_then_collapse,phase5_chain6_predictive_parent_drop_k2_e1_e4,phase5_chain6_predictive_parent,2,"e1,e4",2,"[[1, 2], [4, 5]]",0.0966796875,0.14306640625,4.320073969782635,0.173583984375,111011,57,0.01123046875,0.030029296875,5.576554777496997,0.06884765625,0.08544921875,0.113037109375,-1.2564808077143619,0.104736328125,False,3,False,3,2,E:\SRFM_QUANTUM_PHASE5\results\raw\chain6\multi_ablation\phase5_chain6_predictive_parent_drop_k2_e1_e4__noisy_sim__xbasis__shots4096.json
Phase5,SRFM Quantum Phase5 Predictive Structural Response Study,chain6,path,loop_free_comparison,predictive_parent,adaptive_improvement_then_collapse,phase5_chain6_predictive_parent_drop_k2_e2_e3,phase5_chain6_predictive_parent,2,"e2,e3",2,"[[2, 3], [3, 4]]",0.02197265625,0.045654296875,4.922117206896439,0.10595703125,110011,63,0.01123046875,0.030029296875,5.576554777496997,0.06884765625,0.0107421875,0.015625,-0.6544375706005585,0.037109375,False,3,False,3,2,E:\SRFM_QUANTUM_PHASE5\results\raw\chain6\multi_ablation\phase5_chain6_predictive_parent_drop_k2_e2_e3__noisy_sim__xbasis__shots4096.json
Phase5,SRFM Quantum Phase5 Predictive Structural Response Study,chain6,path,loop_free_comparison,predictive_parent,adaptive_improvement_then_collapse,phase5_chain6_predictive_parent_drop_k2_e2_e4,phase5_chain6_predictive_parent,2,"e2,e4",2,"[[2, 3], [4, 5]]",0.36181640625,0.111328125,3.7573677978964315,0.224365234375,111011,55,0.01123046875,0.030029296875,5.576554777496997,0.06884765625,0.3505859375,0.081298828125,-1.8191869796005657,0.155517578125,False,3,False,3,2,E:\SRFM_QUANTUM_PHASE5\results\raw\chain6\multi_ablation\phase5_chain6_predictive_parent_drop_k2_e2_e4__noisy_sim__xbasis__shots4096.json
Phase5,SRFM Quantum Phase5 Predictive Structural Response Study,chain6,path,loop_free_comparison,predictive_parent,adaptive_improvement_then_collapse,phase5_chain6_predictive_parent_drop_k2_e3_e4,phase5_chain6_predictive_parent,2,"e3,e4",2,"[[3, 4], [4, 5]]",0.0966796875,0.137451171875,4.7028717753511575,0.137451171875,111111,58,0.01123046875,0.030029296875,5.576554777496997,0.06884765625,0.08544921875,0.107421875,-0.8736830021458397,0.068603515625,False,3,False,3,2,E:\SRFM_QUANTUM_PHASE5\results\raw\chain6\multi_ablation\phase5_chain6_predictive_parent_drop_k2_e3_e4__noisy_sim__xbasis__shots4096.json
Phase5,SRFM Quantum Phase5 Predictive Structural Response Study,chain6,path,loop_free_comparison,predictive_parent,adaptive_improvement_then_collapse,phase5_chain6_predictive_parent_drop_k3_e0_e1_e2,phase5_chain6_predictive_parent,3,"e0,e1,e2",3,"[[0, 1], [1, 2], [2, 3]]",0.0205078125,0.04833984375,4.735015212006293,0.107177734375,110011,59,0.01123046875,0.030029296875,5.576554777496997,0.06884765625,0.00927734375,0.018310546875,-0.8415395654907041,0.038330078125,False,4,False,2,3,E:\SRFM_QUANTUM_PHASE5\results\raw\chain6\multi_ablation\phase5_chain6_predictive_parent_drop_k3_e0_e1_e2__noisy_sim__xbasis__shots4096.json
Phase5,SRFM Quantum Phase5 Predictive Structural Response Study,chain6,path,loop_free_comparison,predictive_parent,adaptive_improvement_then_collapse,phase5_chain6_predictive_parent_drop_k3_e0_e1_e3,phase5_chain6_predictive_parent,3,"e0,e1,e3",3,"[[0, 1], [1, 2], [3, 4]]",0.24169921875,0.39453125,3.392619347687506,0.39453125,111111,54,0.01123046875,0.030029296875,5.576554777496997,0.06884765625,0.23046875,0.364501953125,-2.183935429809491,0.32568359375,False,4,False,2,3,E:\SRFM_QUANTUM_PHASE5\results\raw\chain6\multi_ablation\phase5_chain6_predictive_parent_drop_k3_e0_e1_e3__noisy_sim__xbasis__shots4096.json
Phase5,SRFM Quantum Phase5 Predictive Structural Response Study,chain6,path,loop_free_comparison,predictive_parent,adaptive_improvement_then_collapse,phase5_chain6_predictive_parent_drop_k3_e0_e1_e4,phase5_chain6_predictive_parent,3,"e0,e1,e4",3,"[[0, 1], [1, 2], [4, 5]]",0.09033203125,0.148193359375,4.0965575315562095,0.178955078125,111011,55,0.01123046875,0.030029296875,5.576554777496997,0.06884765625,0.0791015625,0.1181640625,-1.4799972459407877,0.110107421875,False,4,False,2,3,E:\SRFM_QUANTUM_PHASE5\results\raw\chain6\multi_ablation\phase5_chain6_predictive_parent_drop_k3_e0_e1_e4__noisy_sim__xbasis__shots4096.json
Phase5,SRFM Quantum Phase5 Predictive Structural Response Study,chain6,path,loop_free_comparison,predictive_parent,adaptive_improvement_then_collapse,phase5_chain6_predictive_parent_drop_k3_e0_e2_e3,phase5_chain6_predictive_parent,3,"e0,e2,e3",3,"[[0, 1], [2, 3], [3, 4]]",0.04052734375,0.2587890625,3.369543281649287,0.31640625,110111,52,0.01123046875,0.030029296875,5.576554777496997,0.06884765625,0.029296875,0.228759765625,-2.20701149584771,0.24755859375,False,4,False,2,3,E:\SRFM_QUANTUM_PHASE5\results\raw\chain6\multi_ablation\phase5_chain6_predictive_parent_drop_k3_e0_e2_e3__noisy_sim__xbasis__shots4096.json
Phase5,SRFM Quantum Phase5 Predictive Structural Response Study,chain6,path,loop_free_comparison,predictive_parent,adaptive_improvement_then_collapse,phase5_chain6_predictive_parent_drop_k3_e0_e2_e4,phase5_chain6_predictive_parent,3,"e0,e2,e4",3,"[[0, 1], [2, 3], [4, 5]]",0.51806640625,0.65625,2.197931532473105,0.65625,111111,34,0.01123046875,0.030029296875,5.576554777496997,0.06884765625,0.5068359375,0.626220703125,-3.3786232450238924,0.58740234375,False,4,False,2,3,E:\SRFM_QUANTUM_PHASE5\results\raw\chain6\multi_ablation\phase5_chain6_predictive_parent_drop_k3_e0_e2_e4__noisy_sim__xbasis__shots4096.json
Phase5,SRFM Quantum Phase5 Predictive Structural Response Study,chain6,path,loop_free_comparison,predictive_parent,adaptive_improvement_then_collapse,phase5_chain6_predictive_parent_drop_k3_e0_e3_e4,phase5_chain6_predictive_parent,3,"e0,e3,e4",3,"[[0, 1], [3, 4], [4, 5]]",0.08935546875,0.147705078125,4.077064942580416,0.185791015625,110111,52,0.01123046875,0.030029296875,5.576554777496997,0.06884765625,0.078125,0.11767578125,-1.4994898349165808,0.116943359375,False,4,False,2,3,E:\SRFM_QUANTUM_PHASE5\results\raw\chain6\multi_ablation\phase5_chain6_predictive_parent_drop_k3_e0_e3_e4__noisy_sim__xbasis__shots4096.json
Phase5,SRFM Quantum Phase5 Predictive Structural Response Study,chain6,path,loop_free_comparison,predictive_parent,adaptive_improvement_then_collapse,phase5_chain6_predictive_parent_drop_k3_e1_e2_e3,phase5_chain6_predictive_parent,3,"e1,e2,e3",3,"[[1, 2], [2, 3], [3, 4]]",0.0068359375,0.09716796875,4.578159091321201,0.146240234375,110011,64,0.01123046875,0.030029296875,5.576554777496997,0.06884765625,-0.00439453125,0.067138671875,-0.9983956861757965,0.077392578125,False,4,False,2,3,E:\SRFM_QUANTUM_PHASE5\results\raw\chain6\multi_ablation\phase5_chain6_predictive_parent_drop_k3_e1_e2_e3__noisy_sim__xbasis__shots4096.json
